name,ring,quadrant,isNew,description
Zurb for emails,trial,languages & frameworks,FALSE,
Django (for internal data entry tools only),trial,languages & frameworks,FALSE,
Django REST Framework/Fast API,trial,languages & frameworks,TRUE,Explore python based web development alterantives for rapid prototypes as well as robust generic web applications
Strapi,trial,languages & frameworks,FALSE,CMS for landing pages. Users feedback not positive. Might be still in trial/re-assesed for infopages.
Monorepo,trial,techniques,FALSE,
Pair Programming,trial,techniques,FALSE,
Automated Dependency Upgrades (Dependabot),trial,techniques,FALSE,
Shadow On-Call Shifts,trial,techniques,FALSE,
Nightwatch,trial,tools,TRUE,
Kustomize,trial,tools,FALSE,
Redash,trial,tools,TRUE,"explore, query, visualize, and share data from any data sources (https://github.com/getredash/redash)"
Amazon Redshift Spectrum,trial,tools,TRUE,perform SQL queries from a Reshift cluster on data stored in S3 buckets
Github Actions,trial,tools,TRUE,"already in use in Mobile, BI and Platform"
Kotlin (for Android),assess,languages & frameworks,FALSE,First attempts to use it inside of our current Chromium project didn't succeed
"Go web framework (e.g. gin, martini, ...)",assess,languages & frameworks,TRUE,
AWS Aurora DB,assess,platforms,FALSE,"Could be re-assessed for cross-region data syncronization. Heavily
 depends on the R/W access patterns and how they're geographically distributed."
AWS SageMaker Deployment,assess,platforms,TRUE,
AWS SageMaker Studio Lab,assess,platforms,TRUE,
Cloudflare Access (aka Cloudflare Teams),assess,platforms,TRUE,"Used to protect internal services (Grafana, Flora, etc)"
"Serverless options: AWS Lambda+API Gateway, etc.",assess,platforms,TRUE,
Architectural Decision records,assess,techniques,TRUE,https://ecosia.atlassian.net/wiki/spaces/DEV/pages/2092761226/Architectural+Decision+Records
Snowplow Service-side Events,assess,techniques,TRUE,
Tilt,assess,tools,FALSE,Local development with Kubernetes: https://tilt.dev/
Terraform Cloud,assess,tools,FALSE,"Remote terraform. Versioned state, RBAC controls"
jaeger,assess,tools,FALSE,
Papermill,assess,tools,TRUE,https://github.com/nteract/papermill for Jupyter notebook parametrisation and execution (suggested by Arnaud)
XCode Cloud,assess,tools,TRUE,https://developer.apple.com/xcode-cloud/
Airbyte,assess,tools,TRUE,"open source tool ""to (simply) sync data from applications, APIs & databases to warehouses, lakes & other destinations"" (https://github.com/airbytehq/airbyte)"
Applitools Eyes,assess,tools,TRUE,"""The World's Most Intelligent Automated Testing Platform, Powered by Visual AI"" https://applitools.com/products-eyes/"
Selenium webdriver,assess,tools,TRUE,Used for E2E automation testing. https://www.selenium.dev/documentation/webdriver/
pip env,drop,languages & frameworks,FALSE,Moved to drop in favour of poetry
PySpark,drop,languages & frameworks,FALSE,
Backbone + jQuery,drop,languages & frameworks,FALSE,Used only in some of our legacy applications that we plan to decommission
Nginx / open resty,drop,platforms,FALSE,I'm not sure: are we thinking to replace usages with ALBs?
AWS SageMaker,drop,platforms,FALSE,"We tried it and don't want to adopt the whole SageMaker solution. 
Picked only the good parts to be re-assessed."
Luigi,drop,tools,FALSE,to be replaced by Airflow
Gulp,drop,tools,FALSE,To be replaced by Webpack
